ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
190,1,44261,40239,10,_wkG}kkxRJU\eAPaAFy@Bc@FoBHyBHcDBu@DaAFa@H]NYNOZOVIZAVBVF`@T|@|@TRZNZH\@p@An@KlAQjB[zBW`AC|GoA~Dm@VEfEg@hGm@dBMhDY~BSrBQ~AQ~Ci@nCk@rAe@x@WpC}@nBw@dCkA~A{@pAw@h@a@~@o@pAaAfAcA|A{ALMh@m@l@q@n@y@j@u@h@u@~AkCtBuDd@w@pA}BTe@^q@b@w@h@aAt@_AJMv@y@n@m@\YNYNQfByAXSfD}Bl@q@b@{@Rs@F}@@{ABaDDmA`@qCXuBf@yBf@{Ap@}A|@cBbAwApC}CrIiIhQmP`AeAxAuAb@c@x@s@fKsKjBsBvBiCzCkDpB}B`AgAnF_GdCoCl@gAl@kA\sAR{@ZwALi@VgA`@iBh@kBbCsFr@_BLYfAaClDaI~@qBVk@??|@gCZcAtCeJl@eB`@aAz@_Bx@gAhAiAhDiDBQBGBEHKVc@d@mAHc@Fg@BQBk@Au@GgAGe@Ie@KQSQOEUAU@ODMFGHINCR@ZHj@P`@VZXV^Pb@LvBb@fBTt@@vAE^EVC|BIT?b@RhAf@NFD@^PzAj@XH
190,1,40239,40229,11,iiaGipuxRr@P`@HD@NDb@J`@JLDv@Rh@PVBd@DR?b@@f@@L?J?TAH?ZCh@CFA`@Cv@E
190,1,40229,40219,12,gt`GimuxRn@Cd@Gh@Cd@E|@If@Ip@In@EdAGD?
190,1,40219,40209,13,mf`GkouxR\CJCjBONA`BQz@Et@EDCXIh@Qj@]d@a@`@g@Xg@^i@BE
190,1,40209,40199,14,wr_GcxuxR\e@Xo@Tw@F[P}@TaBRiAF_@Jo@DY\mBDWNaAD[DSFc@ZmB
190,1,40199,9219,15,gj_GktvxRPkAPs@L_@DELQ`@c@d@Wj@Qb@Iv@Kv@EtCU|@GlCM\Ex@IjBl@JDb@LfBj@
190,1,9219,9047,16,{i~F{{vxRTFPFTHVHlC|@n@V`@NJBLH`@Tr@NP@N@LANETSBCBGPa@JSb@aA
190,1,9047,9037,17,uw}FyzvxRFKZu@v@iB`@eAHSJU@EXo@JSn@wA~@qBFOFMBGLUHSBGn@qAh@kA
190,1,9037,8138,18,_j}F_twxRl@sAJSFOVm@Lc@Na@z@_CFWBIf@wBTeAFU^mBDUZyAH[`@oB
190,1,8138,8057,19,k~|FkrxxRFYr@qD@EDOJc@XsAHWH]Ja@Pu@TaAR{@XmA
190,1,8057,8069,20,kw|F_hyxRJc@Lq@@A?A@EBIb@qBLg@Ne@Fc@B_@@e@?I?W?KGgB?W@i@F_@DK@CBGFIHMnAeB
190,1,8069,4159,21,ip|FaazxR^g@HMBEBCPUb@m@\e@T[HIn@}@DGX]@Ed@m@BCzBwCDEPWRP~@`A\^\\XV\Z??
190,1,4159,4149,22,k|{F}kzxRDBfA|@PJRJt@\zAp@DB@?`@Rn@Xd@Nd@P@?
190,1,4149,4229,23,}n{F_dzxRj@PPD\HH@v@VTJF@\NRHVJB@F@B@d@R`@NFBFBdAf@TN
190,1,4229,4239,24,s`{Fe}yxRD@r@f@DDPLPLfBpAB@^XNJb@X^X
190,1,4239,5059,25,ovzFkuyxR~@r@jA`ANL^XJJNJrAfAPLNJv@n@TP
190,1,5059,5049,26,sizFqjyxRBBB@RP??@@B@BBBBDDDBBBDBBBB@@@?@PLXT`@Xv@p@VPn@f@BM
190,1,5049,5039,27,w`zFucyxRDK@E?EAI?CCEEEIKKGI?K?C@C@C@ORVPn@f@HH|@v@`@\NJXRn@f@NJdAz@JJFD`Av@x@p@TPNJRN
190,1,5039,5019,28,wqyFmvxxRf@`@n@f@`BlALJHHt@h@FFv@l@ZT
190,1,5019,5069,29,sfyFimxxRVRd@\x@l@RPf@d@
